engine_id,phase,case_id,reading_variant,status,duration_sec,generation_sec,rtf,cer,f0_mean_hz,f0_range_hz,energy_rms_dbfs,pause_ratio,speaking_rate_proxy,pronunciation_result,human_review_required
voicevox,phase1,p05,raw,generated,3.882667,0.703714,0.18124500504421315,0.09090909090909091,303.9033255077594,369.19290329197,-23.724167299879497,0.1428571428571429,5.9523809523809526,不合格,False
voicevox,phase1,p05,engine_native,generated,3.882667,0.702977,0.18105518706600385,0.09090909090909091,303.9033255077594,369.19290329197,-23.724167299879497,0.1428571428571429,5.9523809523809526,不合格,False
voicevox,phase1,p05,external_preprocessed,generated,3.882667,0.702959,0.18105055107739088,0.09090909090909091,305.6462889985969,383.12925170068024,-23.84382980105315,0.1428571428571429,5.9523809523809526,不合格,False
voicevox,phase1,p06,raw,generated,3.349333,0.638223,0.19055226816802032,0.0625,307.78839753102955,385.7142857142857,-25.033187983361994,0.16666666666666663,5.0,不合格,False
voicevox,phase1,p06,engine_native,generated,3.349333,0.638313,0.19057913918980288,0.0625,307.78839753102955,385.7142857142857,-25.033187983361994,0.16666666666666663,5.0,不合格,False
voicevox,phase1,p06,external_preprocessed,generated,3.466667,0.651876,0.1880411357652754,0.0625,296.69353996514803,405.1383399209486,-25.501039703389992,0.1954022988505747,5.0,合格,False
voicevox,phase1,p07,raw,generated,2.976,0.585272,0.19666397849462366,0.11764705882352941,307.48133724584994,406.6147859922179,-23.342403784482038,0.06666666666666665,5.714285714285714,不合格,False
voicevox,phase1,p07,engine_native,generated,2.976,0.586109,0.19694522849462365,0.11764705882352941,307.48133724584994,406.6147859922179,-23.342403784482038,0.06666666666666665,5.714285714285714,不合格,False
voicevox,phase1,p07,external_preprocessed,generated,2.976,0.58493,0.19654905913978493,0.23529411764705882,294.61608836443406,406.6147859922179,-23.457689398166394,0.06666666666666665,5.714285714285714,不合格,False
voicevox,phase1,p08,raw,generated,2.890667,0.56642,0.19594785563331923,0.23529411764705882,286.712166403799,425.9259259259259,-24.670652834628072,0.17808219178082196,6.25,不合格,False
voicevox,phase1,p08,engine_native,generated,2.890667,0.568219,0.19657020334753192,0.23529411764705882,286.712166403799,425.9259259259259,-24.670652834628072,0.17808219178082196,6.25,不合格,False
voicevox,phase1,p08,external_preprocessed,generated,2.869333,0.564857,0.1968600368099485,0.29411764705882354,296.7601300477296,297.42388758782204,-24.240634174484214,0.20833333333333337,6.578947368421053,合格,False
voicevox,phase1,p09,raw,generated,3.029333,0.607096,0.20040583191085298,0.058823529411764705,320.29276411803204,407.33590733590734,-22.596169805451932,0.052631578947368474,5.555555555555555,合格,False
voicevox,phase1,p09,engine_native,generated,3.029333,0.606874,0.200332548452085,0.058823529411764705,320.29276411803204,407.33590733590734,-22.596169805451932,0.052631578947368474,5.555555555555555,合格,False
voicevox,phase1,p09,external_preprocessed,generated,3.029333,0.603019,0.19905999109374903,0.058823529411764705,310.3329607067234,407.33590733590734,-22.574046390549576,0.07894736842105265,5.714285714285714,合格,False
voicevox,phase1,p10,raw,generated,2.954667,0.5997,0.20296703486382728,0.23529411764705882,319.97776009157445,363.6363636363636,-23.10290144379815,0.06756756756756754,5.797101449275363,不合格,False
voicevox,phase1,p10,engine_native,generated,2.954667,0.599398,0.2028648236840226,0.23529411764705882,319.97776009157445,363.6363636363636,-23.10290144379815,0.06756756756756754,5.797101449275363,不合格,False
voicevox,phase1,p10,external_preprocessed,generated,3.04,0.607652,0.19988552631578946,0.23529411764705882,300.56230364231016,406.25,-23.776661720928693,0.09210526315789469,5.797101449275363,合格,False
voicevox,phase1,p11,raw,generated,2.4,0.517627,0.21567791666666666,0.25,307.87150035690456,379.3969849246231,-24.522603706247242,0.050000000000000044,6.578947368421053,不合格,False
voicevox,phase1,p11,engine_native,generated,2.4,0.518442,0.2160175,0.25,307.87150035690456,379.3969849246231,-24.522603706247242,0.050000000000000044,6.578947368421053,不合格,False
